Tagalog Sentence,Tagged Sentence,English Translation,Pronoun Annotation
Siya ay nagtuturo ng Ingles sa mga mag-aaral.,"Siya [singular, third-person, gender-neutral] ay nagtuturo ng Ingles sa mga mag-aaral.",They are teaching English to the students.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtutulong-tulong sa paglilinis ng opisina.,"Sila [plural, third-person] ay nagtutulong-tulong sa paglilinis ng opisina.",They are helping each other clean the office.,"Pronoun = ""they,"" plural"
Siya ay nagkakape tuwing umaga.,"Siya [singular, third-person, gender-neutral] ay nagkakape tuwing umaga.",They have coffee every morning.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga puno ay lumalaki sa hardin.,"Ang mga puno [plural, non-human] ay lumalaki sa hardin.",The trees are growing in the garden.,"Pronoun = ""they,"" plural, non-human"
Siya ay pumupunta sa trabaho araw-araw.,"Siya [singular, third-person, gender-neutral] ay pumupunta sa trabaho araw-araw.",They go to work every day.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-aaral para sa pagsusulit.,"Sila [plural, third-person] ay nag-aaral para sa pagsusulit.",They are studying for the exam.,"Pronoun = ""they,"" plural"
Siya ay nagpapahinga sa kanyang silid.,"Siya [singular, third-person, gender-neutral] ay nagpapahinga sa kanyang silid.",They are resting in their room.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-iipon ng pera para sa bakasyon.,"Sila [plural, third-person] ay nag-iipon ng pera para sa bakasyon.",They are saving money for the vacation.,"Pronoun = ""they,"" plural"
Siya ay nanonood ng sine tuwing Biyernes.,"Siya [singular, third-person, gender-neutral] ay nanonood ng sine tuwing Biyernes.",They watch movies every Friday.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtutulungan sa paggawa ng proyekto.,"Sila [plural, third-person] ay nagtutulungan sa paggawa ng proyekto.",They are working together on the project.,"Pronoun = ""they,"" plural"
Siya ay nagpipinta ng larawan ng bundok.,"Siya [singular, third-person, gender-neutral] ay nagpipinta ng larawan ng bundok.",They are painting a picture of a mountain.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagpapakain ng mga ibon tuwing umaga.,"Sila [plural, third-person] ay nagpapakain ng mga ibon tuwing umaga.",They feed the birds every morning.,"Pronoun = ""they,"" plural"
Siya ay nag-aaral ng matematika gabi-gabi.,"Siya [singular, third-person, gender-neutral] ay nag-aaral ng matematika gabi-gabi.",They study math every night.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-aalaga ng mga alagang hayop.,"Sila [plural, third-person] ay nag-aalaga ng mga alagang hayop.",They are taking care of the pets.,"Pronoun = ""they,"" plural"
Siya ay nagpupunas ng lamesa pagkatapos kumain.,"Siya [singular, third-person, gender-neutral] ay nagpupunas ng lamesa pagkatapos kumain.",They are wiping the table after eating.,"Pronoun = ""they,"" singular, gender-neutral"
Siya ay bumibili ng mga prutas sa palengke.,"Siya [singular, third-person, gender-neutral] ay bumibili ng mga prutas sa palengke.",They are buying fruits at the market.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naghuhugas ng kanilang mga kamay.,"Sila [plural, third-person] ay naghuhugas ng kanilang mga kamay.",They are washing their hands.,"Pronoun = ""they,"" plural"
Si Pedro ay nag-aayos ng kotse. Siya ay mahusay.,"Pedro ay nag-aayos ng kotse. Siya [singular, third-person, gender-specific] ay mahusay.",Pedro is fixing the car. He is good.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay naglalaro ng gitara.,"Siya [singular, third-person, gender-neutral] ay naglalaro ng gitara.",They are playing the guitar.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagpapalipas ng oras sa parke.,"Sila [plural, third-person] ay nagpapalipas ng oras sa parke.",They are spending time at the park.,"Pronoun = ""they,"" plural"
Siya ay nagbabasa ng dyaryo.,"Siya [singular, third-person, gender-neutral] ay nagbabasa ng dyaryo.",They are reading the newspaper.,"Pronoun = ""they,"" singular, gender-neutral"
Si Juan at Maria ay nagpapahinga. Sila ay magkasama.,"Juan at Maria ay nagpapahinga. Sila [plural, third-person] ay magkasama.",Juan and Maria are resting. They are together.,"Pronoun = ""they,"" plural"
Siya ay kumakanta ng isang awit.,"Siya [singular, third-person, gender-neutral] ay kumakanta ng isang awit.",They are singing a song.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-uusap tungkol sa proyekto.,"Sila [plural, third-person] ay nag-uusap tungkol sa proyekto.",They are talking about the project.,"Pronoun = ""they,"" plural"
Siya ay pumupunta sa sinehan.,"Siya [singular, third-person, gender-neutral] ay pumupunta sa sinehan.",They are going to the cinema.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalakad sa paligid ng bayan.,"Sila [plural, third-person] ay naglalakad sa paligid ng bayan.",They are walking around town.,"Pronoun = ""they,"" plural"
Siya ay nagpapakain ng mga pusa sa kalye.,"Siya [singular, third-person, gender-neutral] ay nagpapakain ng mga pusa sa kalye.",They are feeding the cats on the street.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naghuhugas ng sasakyan.,"Sila [plural, third-person] ay naghuhugas ng sasakyan.",They are washing the car.,"Pronoun = ""they,"" plural"
Siya ay bumibili ng mga libro para sa eskuwela.,"Siya [singular, third-person, gender-neutral] ay bumibili ng mga libro para sa eskuwela.",They are buying books for school.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay pumupunta sa simbahan tuwing Linggo.,"Sila [plural, third-person] ay pumupunta sa simbahan tuwing Linggo.",They go to church every Sunday.,"Pronoun = ""they,"" plural"
Siya ay kumakain ng tinapay tuwing umaga.,"Siya [singular, third-person, gender-neutral] ay kumakain ng tinapay tuwing umaga.",They eat bread every morning.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagpaplano ng reunion ng pamilya.,"Sila [plural, third-person] ay nagpaplano ng reunion ng pamilya.",They are planning a family reunion.,"Pronoun = ""they,"" plural"
Siya ay nagbabasa ng dyaryo tuwing almusal.,"Siya [singular, third-person, gender-neutral] ay nagbabasa ng dyaryo tuwing almusal.",They read the newspaper during breakfast.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagpupulong sa opisina tuwing Lunes.,"Sila [plural, third-person] ay nagpupulong sa opisina tuwing Lunes.",They have a meeting at the office every Monday.,"Pronoun = ""they,"" plural"
Siya ay bumibili ng gatas.,"Siya [singular, third-person, gender-neutral] ay bumibili ng gatas.",They are buying milk.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagsasama-sama tuwing Pasko.,"Sila [plural, third-person] ay nagsasama-sama tuwing Pasko.",They get together every Christmas.,"Pronoun = ""they,"" plural"
Siya ay nagbabasa ng libro tuwing gabi.,"Siya [singular, third-person, gender-neutral] ay nagbabasa ng libro tuwing gabi.",They read a book every night.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagpapahinga tuwing hapon.,"Sila [plural, third-person] ay nagpapahinga tuwing hapon.",They rest every afternoon.,"Pronoun = ""they,"" plural"
Siya ay nagwawalis ng bakuran tuwing Sabado.,"Siya [singular, third-person, gender-neutral] ay nagwawalis ng bakuran tuwing Sabado.",They sweep the yard every Saturday.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-aalaga ng mga halaman sa hardin.,"Sila [plural, third-person] ay nag-aalaga ng mga halaman sa hardin.",They are taking care of plants in the garden.,"Pronoun = ""they,"" plural"
Siya ay bumibili ng mga prutas tuwing tag-init.,"Siya [singular, third-person, gender-neutral] ay bumibili ng mga prutas tuwing tag-init.",They are buying fruits every summer.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagkakamping tuwing katapusan ng linggo.,"Sila [plural, third-person] ay nagkakamping tuwing katapusan ng linggo.",They go camping every weekend.,"Pronoun = ""they,"" plural"
Siya ay tumutugtog ng violin tuwing gabi.,"Siya [singular, third-person, gender-neutral] ay tumutugtog ng violin tuwing gabi.",They play the violin every night.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagsasama-sama tuwing kaarawan ni Lola.,"Sila [plural, third-person] ay nagsasama-sama tuwing kaarawan ni Lola.",They gather every time it’s Grandma’s birthday.,"Pronoun = ""they,"" plural"
Siya ay nagpipinta ng larawan ng bundok.,"Siya [singular, third-person, gender-neutral] ay nagpipinta ng larawan ng bundok.",They are painting a picture of the mountain.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagkakape sa veranda tuwing umaga.,"Sila [plural, third-person] ay nagkakape sa veranda tuwing umaga.",They drink coffee on the veranda every morning.,"Pronoun = ""they,"" plural"
Siya ay nag-aaral ng sayaw tuwing Sabado.,"Siya [singular, third-person, gender-neutral] ay nag-aaral ng sayaw tuwing Sabado.",They study dance every Saturday.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagpaplano ng biyahe tuwing bakasyon.,"Sila [plural, third-person] ay nagpaplano ng biyahe tuwing bakasyon.",They are planning a trip every vacation.,"Pronoun = ""they,"" plural"
Siya ay naghuhugas ng pinggan tuwing hapon.,"Siya [singular, third-person, gender-neutral] ay naghuhugas ng pinggan tuwing hapon.",They wash the dishes every afternoon.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtutulungan tuwing tag-ani.,"Sila [plural, third-person] ay nagtutulungan tuwing tag-ani.",They help each other during harvest time.,"Pronoun = ""they,"" plural"
Siya ay nagpaplano ng menu para sa linggo.,"Siya [singular, third-person, gender-neutral] ay nagpaplano ng menu para sa linggo.",They are planning the menu for the week.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalaro ng badminton tuwing hapon.,"Sila [plural, third-person] ay naglalaro ng badminton tuwing hapon.",They play badminton every afternoon.,"Pronoun = ""they,"" plural"
Siya ay nagluluto ng almusal tuwing umaga.,"Siya [singular, third-person, gender-neutral] ay nagluluto ng almusal tuwing umaga.",They cook breakfast every morning.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalaro ng taguan sa bakuran.,"Sila [plural, third-person] ay naglalaro ng taguan sa bakuran.",They are playing hide and seek in the yard.,"Pronoun = ""they,"" plural"
Siya ay nagtatago ng mga tsokolate sa kabinet.,"Siya [singular, third-person, gender-neutral] ay nagtatago ng mga tsokolate sa kabinet.",They are hiding chocolates in the cabinet.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagpapahinga sa ilalim ng mga puno.,"Sila [plural, third-person] ay nagpapahinga sa ilalim ng mga puno.",They are resting under the trees.,"Pronoun = ""they,"" plural"
Siya ay nagpapahinga pagkatapos magtrabaho.,"Siya [singular, third-person, gender-neutral] ay nagpapahinga pagkatapos magtrabaho.",They are resting after work.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagbabalik ng mga aklat sa library.,"Sila [plural, third-person] ay nagbabalik ng mga aklat sa library.",They are returning books to the library.,"Pronoun = ""they,"" plural"
Siya ay bumibili ng mansanas para sa kanyang anak.,"Siya [singular, third-person, gender-neutral] ay bumibili ng mansanas para sa kanyang anak.",They are buying apple for their child.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtutulungan sa pagluluto ng hapunan.,"Sila [plural, third-person] ay nagtutulungan sa pagluluto ng hapunan.",They are helping each other cook dinner.,"Pronoun = ""they,"" plural"
Siya ay nagwawalis ng sahig.,"Siya [singular, third-person, gender-neutral] ay nagwawalis ng sahig.",They are sweeping the floor.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagpapakain ng mga isda sa aquarium.,"Sila [plural, third-person] ay nagpapakain ng mga isda sa aquarium.",They are feeding the fish in the aquarium.,"Pronoun = ""they,"" plural"
Si Pedro ay nagluluto ng ulam. Siya ay masarap magluto.,"Pedro ay nagluluto ng ulam. Siya [singular, third-person, gender-specific] ay masarap magluto.",Pedro is cooking a dish. He cooks well.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay naglalaro ng soccer sa field.,"Siya [singular, third-person, gender-neutral] ay naglalaro ng soccer sa field.",They are playing soccer on the field.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nanonood ng fireworks sa plaza.,"Sila [plural, third-person] ay nanonood ng fireworks sa plaza.",They are watching fireworks at the plaza.,"Pronoun = ""they,"" plural"
Siya ay bumibili ng gulay para sa hapunan.,"Siya [singular, third-person, gender-neutral] ay bumibili ng gulay para sa hapunan.",They are buying vegetables for dinner.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga guro ay nagtuturo ng bagong leksyon.,"Ang mga guro [plural, third-person] ay nagtuturo ng bagong leksyon.",The teachers are teaching a new lesson.,"Pronoun = ""they,"" plural"
Siya ay tumutugtog ng piano tuwing Linggo.,"Siya [singular, third-person, gender-neutral] ay tumutugtog ng piano tuwing Linggo.",They play the piano every Sunday.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagbabakasyon sa probinsya tuwing tag-init.,"Sila [plural, third-person] ay nagbabakasyon sa probinsya tuwing tag-init.",They vacation in the province every summer.,"Pronoun = ""they,"" plural"
Siya ay nagtatakbo sa paligid ng parke.,"Siya [singular, third-person, gender-neutral] ay nagtatakbo sa paligid ng parke.",They are running around the park.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagluluto ng adobo tuwing Sabado.,"Sila [plural, third-person] ay nagluluto ng adobo tuwing Sabado.",They cook adobo every Saturday.,"Pronoun = ""they,"" plural"
Siya ay nanonood ng sine tuwing hapon.,"Siya [singular, third-person, gender-neutral] ay nanonood ng sine tuwing hapon.",They watch a movie every afternoon.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga ibon ay lumilipad sa himpapawid.,"Ang mga ibon [plural, third-person, non-human] ay lumilipad sa himpapawid.",The birds are flying in the sky.,"Pronoun = ""they,"" plural, non-human"
Siya ay nag-iimbak ng pagkain para sa taglamig.,"Siya [singular, third-person, gender-neutral] ay nag-iimbak ng pagkain para sa taglamig.",They are storing food for winter.,"Pronoun = ""they,"" singular, gender-neutral"
Siya ay nagpapraktis ng piano tuwing gabi.,"Siya [singular, third-person, gender-neutral] ay nagpapraktis ng piano tuwing gabi.",They practice piano every night.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagpapahinga tuwing linggo ng hapon.,"Sila [plural, third-person] ay nagpapahinga tuwing linggo ng hapon.",They rest every Sunday afternoon.,"Pronoun = ""they,"" plural"
Siya ay nag-iipon ng pera para sa bakasyon.,"Siya [singular, third-person, gender-neutral] ay nag-iipon ng pera para sa bakasyon.",They are saving money for vacation.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagpapakasaya tuwing Sabado ng gabi.,"Sila [plural, third-person] ay nagpapakasaya tuwing Sabado ng gabi.",They have fun every Saturday night.,"Pronoun = ""they,"" plural"
Siya ay nag-aaral ng Ingles tuwing gabi.,"Siya [singular, third-person, gender-neutral] ay nag-aaral ng Ingles tuwing gabi.",They study English every night.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagsasanay tuwing umaga para sa marathon.,"Sila [plural, third-person] ay nagsasanay tuwing umaga para sa marathon.",They practice every morning for the marathon.,"Pronoun = ""they,"" plural"
Tumatalon siya sa trampolin.,"Siya [singular, third-person, gender-neutral] ay tumatalon sa trampolin.",They are jumping on the trampoline.,"Pronoun = ""they,"" singular, gender-neutral"
Nagsusulat si Ana ng tula. Siya ay malikhain.,"Si Ana [singular, third-person, gender-specific] ay nagsusulat ng tula. Siya [singular, third-person, gender-specific] ay malikhain.",Ana is writing a poem. She is creative.,"Pronoun = ""she,"" singular, gender-specific"
Naglalakad sila sa kalye.,"Sila [plural, third-person] ay naglalakad sa kalye.",They are walking on the street.,"Pronoun = ""they,"" plural"
Natutulog siya sa sala.,"Siya [singular, third-person, gender-neutral] ay natutulog sa sala.",They are sleeping in the living room.,"Pronoun = ""they,"" singular, gender-neutral"
Kumakain ng kendi ang mga bata.,"Ang mga bata [plural, third-person] ay kumakain ng kendi.",The children are eating candy.,"Pronoun = ""they,"" plural"
Nagiipon siya ng pera.,"Siya [singular, third-person, gender-neutral] ay nagiipon ng pera.",They are saving money.,"Pronoun = ""they,"" singular, gender-neutral"
Naghahanap ng buto ang aso.,"Ang aso [singular, third-person, non-human] ay naghahanap ng buto.",The dog is looking for a bone.,"Pronoun = ""it,"" singular, non-human"
Nagpapakain ng mga ibon si Juan. Siya ay mabait.,"Si Juan [singular, third-person, gender-specific] ay nagpapakain ng mga ibon. Siya [singular, third-person, gender-specific] ay mabait.",Juan is feeding the birds. He is kind.,"Pronoun = ""he,"" singular, gender-specific"
Naghuhugas sila ng pinggan.,"Sila [plural, third-person] ay naghuhugas ng pinggan.",They are washing the dishes.,"Pronoun = ""they,"" plural"
Bumibili siya ng tiket para sa sinehan.,"Siya [singular, third-person, gender-neutral] ay bumibili ng tiket para sa sinehan.",They are buying a ticket for the cinema.,"Pronoun = ""they,"" singular, gender-neutral"
Nag-aaral ng Ingles sina Pedro at Ana. Sila ay masipag.,"Sina Pedro at Ana [plural, third-person] ay nag-aaral ng Ingles. Sila [plural, third-person] ay masipag.",Pedro and Ana are studying English. They are hardworking.,"Pronoun = ""they,"" plural"
Siya ay nag-aalaga ng kanyang mga magulang.,"Siya [singular, third-person, gender-neutral] ay nag-aalaga ng kanyang mga magulang.",They are taking care of their parents.,"Pronoun = ""they,"" singular, gender-neutral"
Pumupunta sila sa palengke tuwing umaga.,"Sila [plural, third-person] ay pumupunta sa palengke tuwing umaga.",They go to the market every morning.,"Pronoun = ""they,"" plural"
Nagaaral siya ng Hapon.,"Siya [singular, third-person, gender-neutral] ay nagaaral ng Hapon.",They are learning Japanese.,"Pronoun = ""they,"" singular, gender-neutral"
Tumatakbo sa paligid ng bahay ang pusa.,"Ang pusa [singular, third-person, non-human] ay tumatakbo sa paligid ng bahay.",The cat is running around the house.,"Pronoun = ""it,"" singular, non-human"
Nanonood siya ng balita sa telebisyon.,"Siya [singular, third-person, gender-neutral] ay nanonood ng balita sa telebisyon.",They are watching the news on TV.,"Pronoun = ""they,"" singular, gender-neutral"
Siya ay naglalakad sa parke.,"Siya [singular, third-person, gender-neutral] ay naglalakad sa parke.",They are walking in the park.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naguusap sa hardin.,"Sila [plural, third-person] ay naguusap sa hardin.",They are talking in the garden.,"Pronoun = ""they,"" plural"
Siya ay naglilinis ng banyo.,"Siya [singular, third-person, gender-neutral] ay naglilinis ng banyo.",They are cleaning the bathroom.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga pusa ay naglalaro sa sahig.,"Ang mga pusa [plural, non-human] ay naglalaro sa sahig.",The cats are playing on the floor.,"Pronoun = ""they,"" plural, non-human"
Siya ay nag-aaral ng matematika.,"Siya [singular, third-person, gender-neutral] ay nag-aaral ng matematika.",They are studying math.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagluluto ng hapunan.,"Sila [plural, third-person] ay nagluluto ng hapunan.",They are cooking dinner.,"Pronoun = ""they,"" plural"
Ang guro ay nagbibigay ng aralin. Siya ay matiyaga.,"Ang guro ay nagbibigay ng aralin. Siya [singular, inferred gender] ay matiyaga.",The teacher is giving a lesson. She is patient.,"Pronoun = ""she,"" singular, inferred gender"
Siya ay nagsasampay ng damit.,"Siya [singular, third-person, gender-neutral] ay nagsasampay ng damit.",They are hanging clothes to dry.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga isda ay lumalangoy sa lawa.,"Ang mga isda [plural, non-human] ay lumalangoy sa lawa.",The fish are swimming in the lake.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagtatanim ng halaman.,"Siya [singular, third-person, gender-neutral] ay nagtatanim ng halaman.",They are planting a tree.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay bumibili ng prutas sa palengke.,"Sila [plural, third-person] ay bumibili ng prutas sa palengke.",They are buying fruits in the market.,"Pronoun = ""they,"" plural"
Siya ay nagpi-pintura ng pader.,"Siya [singular, third-person, gender-neutral] ay nagpi-pintura ng pader.",They are painting a wall.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga kabayo ay tumatakbo sa kabukiran.,"Ang mga kabayo [plural, non-human] ay tumatakbo sa kabukiran.",The horses are running in the countryside.,"Pronoun = ""they,"" plural, non-human"
Siya ay nananahi ng damit.,"Siya [singular, third-person, gender-neutral] ay nananahi ng damit.",They are sewing clothes.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagbabasa ng libro sa silid-aklatan.,"Sila [plural, third-person] ay nagbabasa ng libro sa silid-aklatan.",They are reading books in the library.,"Pronoun = ""they,"" plural"
Siya ay kumakain ng almusal sa balkonahe.,"Siya [singular, third-person, gender-neutral] ay kumakain ng almusal sa balkonahe.",They are eating breakfast on the balcony.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga ibon ay kumakanta sa umaga.,"Ang mga ibon [plural, non-human] ay kumakanta sa umaga.",The birds are singing in the morning.,"Pronoun = ""they,"" plural, non-human"
Siya ay nanonood ng balita sa TV.,"Siya [singular, third-person, gender-neutral] ay nanonood ng balita sa TV.",They are watching the news on TV.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagsasanay para sa sayaw.,"Sila [plural, third-person] ay nagsasanay para sa sayaw.",They are practicing for the dance.,"Pronoun = ""they,"" plural"
Siya ay nagpe-pedicure.,"Siya [singular, third-person, gender-neutral] ay nagpe-pedicure.",They are getting a pedicure.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-uusap sa telepono.,"Sila [plural, third-person] ay nag-uusap sa telepono.",They are talking on the phone.,"Pronoun = ""they,"" plural"
Siya ay gumagawa ng proyekto sa paaralan.,"Siya [singular, third-person, gender-neutral] ay gumagawa ng proyekto sa paaralan.",They are doing a school project.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga pusa ay natutulog sa kama.,"Ang mga pusa [plural, non-human] ay natutulog sa kama.",The cats are sleeping on the bed.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagpapraktis ng gitara.,"Siya [singular, third-person, gender-neutral] ay nagpapraktis ng gitara.",They are practicing the guitar.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagmamaneho patungo sa lungsod.,"Sila [plural, third-person] ay nagmamaneho patungo sa lungsod.",They are driving to the city.,"Pronoun = ""they,"" plural"
Siya ay nag-iimpake para sa biyahe.,"Siya [singular, third-person, gender-neutral] ay nag-iimpake para sa biyahe.",They are packing for the trip.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga kabataan ay naglalaro ng computer.,"Ang mga kabataan [plural, non-human] ay naglalaro ng computer.",The kids are playing on the computer.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagluluto ng almusal.,"Siya [singular, third-person, gender-neutral] ay nagluluto ng almusal.",They are cooking breakfast.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalaro ng basketball.,"Sila [plural, third-person] ay naglalaro ng basketball.",They are playing basketball.,"Pronoun = ""they,"" plural"
Si Ana ay naglalakad sa tabing-dagat. Siya ay masigla.,"Si Ana ay naglalakad sa tabing-dagat. Siya [singular, third-person, gender-specific] ay masigla.",Ana is walking on the beach. She is lively.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagpipinta ng larawan.,"Siya [singular, third-person, gender-neutral] ay nagpipinta ng larawan.",They are painting a picture.,"Pronoun = ""they,"" singular, gender-neutral"
Ang aso ay kumakain ng buto. Ito ay busog.,"Ang aso ay kumakain ng buto. Ito [singular, non-human] ay busog.",The dog is eating a bone. It is full.,"Pronoun = ""it,"" singular, non-human"
Siya ay nag-aayos ng kanyang laptop.,"Siya [singular, third-person, gender-neutral] ay nag-aayos ng kanyang laptop.",They are fixing their laptop.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglilinis ng kanilang bahay.,"Sila [plural, third-person] ay naglilinis ng kanilang bahay.",They are cleaning their house.,"Pronoun = ""they,"" plural"
Si Juan ay nagbabasa ng dyaryo. Siya ay matalino.,"Si Juan ay nagbabasa ng dyaryo. Siya [singular, third-person, gender-specific] ay matalino.",Juan is reading the newspaper. He is intelligent.,"Pronoun = ""he,"" singular, gender-specific"
Ang mga ibon ay gumagawa ng pugad.,"Ang mga ibon ay gumagawa ng pugad. Sila [plural, non-human] ay masipag.",The birds are building a nest. They are hardworking.,"Pronoun = ""they,"" plural, non-human"
Siya ay sumasayaw sa entablado.,"Siya [singular, third-person, gender-neutral] ay sumasayaw sa entablado.",They are dancing on stage.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay kumakain ng hapunan sa labas.,"Sila [plural, third-person] ay kumakain ng hapunan sa labas.",They are eating dinner outside.,"Pronoun = ""they,"" plural"
Si Maria ay nanonood ng sine. Siya ay nasisiyahan.,"Si Maria ay nanonood ng sine. Siya [singular, third-person, gender-specific] ay nasisiyahan.",Maria is watching a movie. She is enjoying it.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nag-aalaga ng aso.,"Siya [singular, third-person, gender-neutral] ay nag-aalaga ng aso.",They are taking care of a dog.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga bata ay nagsusulat sa kanilang notebook.,"Ang mga bata ay nagsusulat sa kanilang notebook. Sila [plural, third-person] ay masipag.",The children are writing in their notebooks. They are hardworking.,"Pronoun = ""they,"" plural"
Siya ay nagpapahinga sa ilalim ng puno.,"Siya [singular, third-person, gender-neutral] ay nagpapahinga sa ilalim ng puno.",They are resting under the tree.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagkakape sa cafe.,"Sila [plural, third-person] ay nagkakape sa cafe.",They are having coffee at the cafe.,"Pronoun = ""they,"" plural"
Si Ana ay nagsasampay ng damit. Siya ay masipag.,"Si Ana ay nagsasampay ng damit. Siya [singular, third-person, gender-specific] ay masipag.",Ana is hanging clothes. She is hardworking.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay bumibili ng mga bulaklak.,"Siya [singular, third-person, gender-neutral] ay bumibili ng mga bulaklak.",They are buying flowers.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalaro ng board games sa sala.,"Sila [plural, third-person] ay naglalaro ng board games sa sala.",They are playing board games in the living room.,"Pronoun = ""they,"" plural"
Si Juan ay nagluluto ng pasta. Siya ay mahusay.,"Si Juan ay nagluluto ng pasta. Siya [singular, third-person, gender-specific] ay mahusay.",Juan is cooking pasta. He is skilled.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay naglalaba ng damit.,"Siya [singular, third-person, gender-neutral] ay naglalaba ng damit.",They are washing clothes.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtitinda ng prutas sa palengke.,"Sila [plural, third-person] ay nagtitinda ng prutas sa palengke.",They are selling fruits at the market.,"Pronoun = ""they,"" plural"
Siya ay nanonood ng TV sa gabi.,"Siya [singular, third-person, gender-neutral] ay nanonood ng TV sa gabi.",They are watching TV at night.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagbibisikleta sa bundok.,"Sila [plural, third-person] ay nagbibisikleta sa bundok.",They are biking in the mountains.,"Pronoun = ""they,"" plural"
Si Maria ay nagpe-pedicure. Siya ay malikhain.,"Si Maria ay nagpe-pedicure. Siya [singular, third-person, gender-specific] ay malikhain.",Maria is having a pedicure. She is creative.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagwawalis ng sahig.,"Siya [singular, third-person, gender-neutral] ay nagwawalis ng sahig.",They are sweeping the floor.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-aayos ng kanilang kwarto.,"Sila [plural, third-person] ay nag-aayos ng kanilang kwarto.",They are tidying their room.,"Pronoun = ""they,"" plural"
Si Pedro ay nagsusulat ng email. Siya ay mabilis.,"Si Pedro ay nagsusulat ng email. Siya [singular, third-person, gender-specific] ay mabilis.",Pedro is writing an email. He is quick.,"Pronoun = ""he,"" singular, gender-specific"
